Year,GDP (in Bil. US$PPP),GDP per capita (in US$ PPP),GDP (in Bil. US$nominal),GDP per capita (in US$ nominal),GDP growth (real),Inflation rate (in Percent),Unemployment (in Percent),Government debt (inÂ % of GDP),acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1980,2857.3,12552.9,2857.3,12552.9,-0.30%,13.50%,7.20%,,0.28495539763589706,0.5561523589743594,252835.53333333327,0.5977773948717964,0.1287510612717948,0.20375410256410267,-10.70094205,0.059248615,122.98500102564111,0.5980580512820513,36.206666666666656,0
1981,3207,13948.7,3207,13948.7,2.50%,10.40%,7.60%,,0.3012042267400006,0.5421846999999999,250904.205,0.5993827249999998,0.14683794661999985,0.2250998999999999,-10.9244045,0.057915999999999926,123.16939500000014,0.5829518500000006,35.7525,9
1982,3343.8,14405,3343.8,14405,-1.80%,6.20%,9.70%,,0.2895800382050001,0.5642594000000005,248357.306,0.5909193894999996,0.10001638300000004,0.20100675,-10.9331225,0.06585305,120.91860749999992,0.5864384500000001,36.247,2
1983,3634,15513.7,3634,15513.7,4.60%,3.20%,9.60%,,0.2947778916300001,0.5456292999999998,251123.6985,0.6014252350000012,0.14541052329000045,0.1989224500000002,-11.200171,0.066886,121.070629,0.5721198999999989,36.268,9
1984,4037.7,17086.4,4037.7,17086.4,7.20%,4.40%,7.50%,,0.2877095803450008,0.5303089499999987,251845.2565,0.5910916750000013,0.14517303973500045,0.19770620000000003,-11.5232385,0.059264800000000166,121.37666200000015,0.5516387100000003,37.7745,9
1985,4339,18199.3,4339,18199.3,4.20%,3.50%,7.20%,,0.2965709032099995,0.5556424000000012,252276.258,0.6015154800000013,0.11373855807499987,0.19920644999999984,-11.3606885,0.0584648,121.9793035000001,0.5655964500000001,37.013000000000005,9
1986,4579.6,19034.8,4579.6,19034.8,3.50%,1.90%,7.00%,,0.28508065642499997,0.5409334000000001,254708.4055,0.6149545999999998,0.10994085436499992,0.21187945000000014,-11.103995,0.0648161,120.49930200000016,0.5509485500000019,37.5775,9
1987,4855.3,20001,4855.3,20001,3.50%,3.60%,6.20%,,0.3116640663948722,0.5410193333333342,247543.3230769231,0.5798395538461533,0.10197451746666662,0.20201810256410305,-11.62346718,0.057789641,120.84570717948708,0.5414511794871785,39.685128205128215,7
1988,5236.4,21376,5236.4,21376,4.20%,4.10%,5.50%,,0.32200994651282105,0.5404594358974372,257442.5897435897,0.5856792461538458,0.11719038022051302,0.20770753846153808,-11.51982103,0.066099897,120.02442564102579,0.5464853897435901,39.60051282051282,7
1989,5641.6,22814.1,5641.6,22814.1,3.70%,4.80%,5.30%,,0.3133512518150009,0.5472274499999988,254203.5935,0.584046375,0.11318254461499995,0.19908020000000007,-11.38413,0.06393925,120.5790015000003,0.5483329000000007,39.1825,7
1990,5963.1,23848,5963.1,23848,1.90%,5.40%,5.60%,,0.3328699505850001,0.5352986500000001,256451.4035,0.5715913950000007,0.12582626809499972,0.19096090000000004,-11.3274795,0.0643453,120.06273350000023,0.5265268499999999,40.7855,7
1991,6158.1,24302.8,6158.1,24302.8,-0.10%,4.20%,6.90%,,0.33276529163076995,0.5558243589743591,245912.00615384613,0.5594023641025635,0.11509233979999993,0.18862892307692355,-10.95576872,0.07110159,119.36257435897407,0.5486552307692295,41.65589743589744,7
1992,6520.3,25392.9,6520.3,25392.9,3.50%,3.00%,7.50%,,0.3208087638250009,0.5550648499999989,246506.46,0.5828642050000001,0.1006900830649998,0.20024550000000071,-10.5754045,0.0730623,122.58621850000021,0.5590983000000014,42.994,7
1993,6858.6,26364.2,6858.6,26364.2,2.80%,3.00%,6.90%,,0.3090685537400004,0.5698781500000001,251667.9675,0.5625599100000002,0.11529396538000007,0.1949322500000003,-10.882701,0.07635055,120.36493599999993,0.5555684500000001,42.9975,7
1994,7287.3,27674,7287.3,27674,4.00%,2.60%,6.10%,,0.3062343630899999,0.5528299500000016,250992.254,0.578772685,0.11188575994999997,0.1921651000000001,-10.282273,0.07604935,118.44516999999986,0.5266491500000006,45.0615,7
1995,7639.8,28671.5,7639.8,28671.5,2.70%,2.80%,5.60%,,0.30251180612000045,0.5590457500000001,246624.0915,0.5785795100000009,0.12326879606999998,0.2013737000000004,-10.11945,0.08375445,119.28197799999987,0.5302466999999994,44.801,0
1996,8073.1,29947,8073.1,29947,3.80%,2.90%,5.40%,,0.30102687980000065,0.5878306000000001,248180.983,0.5860684750000011,0.095052812,0.1986863000000002,-9.4438185,0.08607765,117.70835699999998,0.5608732500000001,44.903999999999996,7
1997,8577.6,31440.1,8577.6,31440.1,4.40%,2.30%,4.90%,,0.3067156934549995,0.5768138499999994,245749.2815,0.5986987151000001,0.10469017861999998,0.1984788000000003,-9.2008755,0.08850605,118.18231600000021,0.5485525000000002,45.582,7
1998,9062.8,32833.7,9062.8,32833.7,4.50%,1.50%,4.50%,,0.29148946157000016,0.5862116499999998,248542.6075,0.6051975050000015,0.1113257503499999,0.1937308999999996,-8.971168,0.09173105,118.54010800000003,0.5377209,45.8945,7
1999,9631.2,34496.2,9631.2,34496.2,4.80%,2.20%,4.20%,,0.2715901110661201,0.5821579190158892,245177.7452588416,0.6375226022552535,0.094068141,0.20630804715530507,-8.266409534,0.094407176,119.50949051768335,0.5564528446950284,47.25832906201947,0
2000,10251,36312.8,10251,36312.8,4.10%,3.40%,4.00%,,0.28932270051635994,0.590918047,242724.6426380368,0.6254128323108387,0.10116776879345596,0.1976860429447853,-8.247765849,0.089205419,118.9993231083843,0.5594754601226991,46.68404908,7
2001,10581.9,37101.5,10581.9,37101.5,1.00%,2.80%,4.70%,53.10%,0.2868424748428934,0.5833178553615969,240307.79600997505,0.6269855221945144,0.10721401899251867,0.18702563591022486,-8.305095262,0.089182294,117.76539900249378,0.541479107,48.75012468827929,7
2002,10929.1,37945.8,10929.1,37945.8,1.70%,1.60%,5.80%,55.50%,0.28262428988500105,0.5761602999999997,239503.283,0.6412697960000012,0.08804835,0.1939111999999998,-7.6866395,0.0843076,119.23973849999993,0.5423971500000008,48.6555,7
2003,11456.5,39405.4,11456.5,39405.4,2.80%,2.30%,6.00%,58.60%,0.25647051817297833,0.5757633060388944,244670.5752302968,0.6601652610030712,0.083049275,0.19697630501535301,-7.485545036,0.093925742,120.9146218014328,0.5305042476970324,48.62640736949847,7
2004,12217.2,41641.6,12217.2,41641.6,3.90%,2.70%,5.50%,66.20%,0.2805589466225845,0.5676803662258397,237378.70803662261,0.6488679450661226,0.077934035,0.2021994404883014,-7.601655137,0.09423881,121.29034587995956,0.5244885554425227,49.27314343845372,7
2005,13039.2,44034.3,13039.2,44034.3,3.50%,3.40%,5.10%,65.50%,0.2557635068666665,0.5722805641025652,237229.5882051282,0.653208511,0.090194361,0.19008162564102585,-7.466158974,0.093333692,121.61796666666649,0.5325309230769236,50.95333333333333,0
2006,13815.6,46216.9,13815.6,46216.9,2.80%,3.20%,4.60%,64.20%,0.2799863520256408,0.5682301538461539,234042.91435897435,0.6503262820512825,0.077701472,0.1882892820512821,-7.265500513,0.085846769,121.79861538461536,0.5200283076923078,51.31384615384616,7
2007,14474.3,47943.4,14474.3,47943.4,2.00%,2.90%,4.60%,64.60%,0.2540809575538463,0.5634143589743592,241049.96256410255,0.6683047743589737,0.072957268,0.19612656410256424,-7.044535897,0.084347333,124.0875164102562,0.5167938461538473,51.07589743589744,7
2008,14769.9,48470.6,14769.9,48470.6,0.10%,3.80%,5.80%,73.50%,0.2491917627212275,0.5791928388746803,240107.31560102306,0.6714608207672623,0.06366209,0.19843140664961625,-6.843804092,0.077356368,123.50993350383641,0.5275418925831203,50.63017902813299,0
2009,14478.1,47102.4,14478.1,47102.4,-2.60%,-0.30%,9.30%,86.70%,0.26192861909693904,0.5641903571428577,238140.0132653061,0.6707487551020408,0.075872074,0.2052522959183674,-7.046014796,0.085457806,123.4638076530612,0.5071696617346935,51.440816326530616,0
2010,15049,48586.3,15049,48586.3,2.70%,1.60%,9.60%,95.20%,0.2426866435515872,0.5724883432539687,242811.8045634921,0.6817778026289684,0.082980568,0.19970064484126995,-6.909904266,0.081031498,123.5702152777779,0.5208951587301589,52.73015873015873,0
2011,15599.7,50008.1,15599.7,50008.1,1.60%,3.10%,8.90%,99.50%,0.27318266251859197,0.5528669806643526,236998.7873,0.6483008934060499,0.10377233216658402,0.20330882498760566,-7.574986118,0.087479276,121.48399702528488,0.4724536787307882,53.30738720872582,2
2012,16254,51736.7,16254,51736.7,2.30%,2.10%,8.10%,103.10%,0.24995304438046245,0.5708818508997433,245807.45758354763,0.6565714601542408,0.085205521,0.1897330077120824,-7.260549614,0.081742468,121.78173624678669,0.4627090128534706,52.65501285347044,7
2013,16843.2,53245.5,16843.2,53245.5,1.80%,1.50%,7.40%,104.60%,0.2574880859564779,0.5711480263157896,242267.66143724695,0.6455968914473688,0.098365054,0.19963081983805714,-7.472039474,0.093848887,120.80682945344118,0.4547411943319834,54.047064777327925,1
2014,17550.7,55083.5,17550.7,55083.5,2.30%,1.60%,6.20%,104.60%,0.24931264588029906,0.5899476807980057,233728.31471321694,0.6487954437905223,0.076569555,0.1918215960099752,-7.0674399,0.084060549,122.30526284289296,0.4630487780548628,55.543142144638395,0
2015,18206,56729.7,18206,56729.7,2.70%,0.10%,5.30%,105.20%,0.2539522577102332,0.5937740628166152,230029.0466058764,0.6270642715298895,0.1067868780547114,0.18885643363728474,-7.625639311,0.09677923,120.11541134751768,0.4320983687943254,56.70060790273557,7
2016,18695.1,57840,18695.1,57840,1.70%,1.30%,4.90%,107.20%,0.28417102995548144,0.6002023928770179,221396.51029493602,0.5928552316082347,0.093984387,0.18116989426822505,-8.061056205,0.10431329994435183,118.65262993878693,0.4315320589872012,59.64718976,0
2017,19479.6,59885.7,19479.6,59885.7,2.30%,2.10%,4.40%,106.20%,0.2860990665261043,0.6122170180722886,211115.6967871486,0.5904210208835337,0.097090609,0.1917126004016064,-8.312629518,0.1105364959839356,117.20273995983936,0.4164763112449793,63.26355421686747,1
2018,20527.2,62769.7,20527.2,62769.7,2.90%,2.40%,3.90%,107.50%,0.2676329907750836,0.6635004755111744,206001.0071326676,0.6024346220161672,0.054217122,0.17632553495007114,-7.168785069,0.12717555872563022,121.9223076557296,0.4479212743699474,63.29624346172135,1
2019,21372.6,65051.9,21372.6,65051.9,2.30%,1.80%,3.70%,108.80%,0.2782985863365824,0.6448141097998967,201024.78809645973,0.5932240360184717,0.077640247,0.17261641867624464,-7.722191893,0.12104335556695732,120.23564443304272,0.4588176295536167,65.25654181631606,1
2020,20893.8,63078.5,20893.8,63078.5,-3.40%,1.20%,8.10%,134.50%,0.2199308880935964,0.6929043349753701,193728.39753694585,0.6312316354679793,0.016375524305418724,0.1785354187192117,-6.595066995,0.14138369458128058,124.28312857142865,0.5010478078817729,64.30197044334976,1
2021,22996.1,69227.1,22996.1,69227.1,5.70%,4.70%,5.40%,128.10%,,,,,,,,,,,,
2022,25035.2,75179.6,25035.2,75179.6,1.60%,8.10%,3.70%,122.10%,,,,,,,,,,,,
2023,26185.2,78421.9,26185.2,78421.9,1.00%,3.50%,4.60%,122.90%,,,,,,,,,,,,
2024,27057.2,80779.3,27057.2,80779.3,1.20%,2.20%,5.40%,126.00%,,,,,,,,,,,,
2025,28045.3,83463.2,28045.3,83463.2,1.80%,2.00%,5.40%,129.40%,,,,,,,,,,,,
2026,29165.5,86521.2,29165.5,86521.2,2.10%,2.00%,4.90%,132.20%,,,,,,,,,,,,
2027,30281.5,89546.4,30281.5,89546.4,1.90%,2.00%,4.70%,134.90%,,,,,,,,,,,,
